,,
,,
Country Name,Country Code,2017
Aruba,ABW,39409.22753
Afghanistan,AFG,1972.178018
Angola,AGO,6643.754972
Albania,ALB,12943.46071
Andorra,AND,
Arab World,ARB,16955.43602
United Arab Emirates,ARE,73878.46766
Argentina,ARG,20784.76831
Armenia,ARM,9647.486113
American Samoa,ASM,
Antigua and Barbuda,ATG,23472.30671
Australia,AUS,48460.04928
Austria,AUT,52397.75435
Azerbaijan,AZE,17398.16356
Burundi,BDI,733.892808
Belgium,BEL,47840.19714
Benin,BEN,2271.675412
Burkina Faso,BFA,1862.209146
Bangladesh,BGD,3868.822303
Bulgaria,BGR,20947.99417
Bahrain,BHR,47526.90428
"Bahamas, The",BHS,30430.16948
Bosnia and Herzegovina,BIH,13107.72259
Belarus,BLR,18836.51968
Belize,BLZ,8507.074865
Bermuda,BMU,
Bolivia,BOL,7559.639404
Brazil,BRA,15483.54083
Barbados,BRB,18520.03343
Brunei Darussalam,BRN,78836.12468
Bhutan,BTN,9371.651309
Botswana,BWA,16988.11899
Central African Republic,CAF,725.9454195
Canada,CAN,46704.89472
Central Europe and the Baltics,CEB,28991.95216
Switzerland,CHE,64712.1275
Channel Islands,CHI,
Chile,CHL,24634.97021
China,CHN,16806.74186
Cote d'Ivoire,CIV,3936.397609
Cameroon,CMR,3714.548416
"Congo, Dem. Rep.",COD,887.2128626
"Congo, Rep.",COG,5442.713712
Colombia,COL,14472.6134
Comoros,COM,2745.194507
Cabo Verde,CPV,6897.999986
Costa Rica,CRI,17073.51875
Caribbean small states,CSS,15775.62325
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,58179.05084
Cyprus,CYP,34503.47033
Czech Republic,CZE,36327.25234
Germany,DEU,50638.89096
Djibouti,DJI,
Dominica,DMA,10016.17024
Denmark,DNK,51364.1447
Dominican Republic,DOM,16029.62371
Algeria,DZA,15260.35418
East Asia & Pacific (excluding high income),EAP,14905.63837
Early-demographic dividend,EAR,9684.23
East Asia & Pacific,EAS,18140.70167
Europe & Central Asia (excluding high income),ECA,20565.50482
Europe & Central Asia,ECS,32662.28496
Ecuador,ECU,11587.45494
"Egypt, Arab Rep.",EGY,11583.79412
Euro area,EMU,43654.00585
Eritrea,ERI,
Spain,ESP,37997.85234
Estonia,EST,31742.03187
Ethiopia,ETH,1899.208126
European Union,EUU,41191.93753
Fragile and conflict affected situations,FCS,4447.322504
Finland,FIN,44865.84091
Fiji,FJI,9554.602534
France,FRA,42850.38628
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3692.956918
Gabon,GAB,18074.93889
United Kingdom,GBR,43268.78356
Georgia,GEO,10683.10311
Ghana,GHA,4492.319477
Gibraltar,GIB,
Guinea,GIN,2242.261983
"Gambia, The",GMB,1695.516568
Guinea-Bissau,GNB,1700.223058
Equatorial Guinea,GNQ,24387.46266
Greece,GRC,27601.90492
Grenada,GRD,15123.75141
Greenland,GRL,
Guatemala,GTM,8150.253377
Guam,GUM,
Guyana,GUY,8162.601224
High income,HIC,47311.47521
"Hong Kong SAR, China",HKG,61540.15831
Honduras,HND,4986.23136
Heavily indebted poor countries (HIPC),HPC,2394.505737
Croatia,HRV,26288.04445
Haiti,HTI,1814.943236
Hungary,HUN,28107.8918
IBRD only,IBD,13749.70753
IDA & IBRD total,IBT,11218.60784
IDA total,IDA,3805.253252
IDA blend,IDB,5380.647994
Indonesia,IDN,12283.61543
IDA only,IDX,3012.580971
Isle of Man,IMN,
India,IND,7059.323757
Not classified,INX,
Ireland,IRL,75648.23285
"Iran, Islamic Rep.",IRN,20840.51165
Iraq,IRQ,16899.20347
Iceland,ISL,53152.69889
Israel,ISR,38261.67512
Italy,ITA,39426.9408
Jamaica,JAM,9046.414293
Jordan,JOR,9153.352396
Japan,JPN,43278.98933
Kazakhstan,KAZ,26434.93497
Kenya,KEN,3285.431516
Kyrgyz Republic,KGZ,3725.541023
Cambodia,KHM,4009.062968
Kiribati,KIR,2180.418933
St. Kitts and Nevis,KNA,28575.72203
"Korea, Rep.",KOR,38335.27048
Kuwait,KWT,71943.00888
Latin America & Caribbean (excluding high income),LAC,14799.21101
Lao PDR,LAO,7023.371679
Lebanon,LBN,14481.95626
Liberia,LBR,1282.581899
Libya,LBY,19631.29942
St. Lucia,LCA,13956.33767
Latin America & Caribbean,LCN,15801.8252
Least developed countries: UN classification,LDC,2789.903297
Low income,LIC,2154.047411
Liechtenstein,LIE,
Sri Lanka,LKA,12835.33261
Lower middle income,LMC,7196.315485
Low & middle income,LMY,10950.00048
Lesotho,LSO,2925.821703
Late-demographic dividend,LTE,17790.12708
Lithuania,LTU,32997.54448
Luxembourg,LUX,103744.7598
Latvia,LVA,28198.83094
"Macao SAR, China",MAC,115123.0782
St. Martin (French part),MAF,
Morocco,MAR,8217.456796
Monaco,MCO,
Moldova,MDA,5697.834883
Madagascar,MDG,1555.044799
Maldives,MDV,16652.8739
Middle East & North Africa,MEA,19902.80993
Mexico,MEX,18273.48218
Marshall Islands,MHL,4237.926361
Middle income,MIC,12118.83752
"Macedonia, FYR",MKD,15290.31452
Mali,MLI,2213.515318
Malta,MLT,41034.14065
Myanmar,MMR,6160.7031
Middle East & North Africa (excluding high income),MNA,13580.59978
Montenegro,MNE,19351.88529
Mongolia,MNG,12918.40634
Northern Mariana Islands,MNP,
Mozambique,MOZ,1247.595387
Mauritania,MRT,3949.678029
Mauritius,MUS,22308.81444
Malawi,MWI,1202.197126
Malaysia,MYS,29448.9483
North America,NAC,58232.88143
Namibia,NAM,10448.70595
New Caledonia,NCL,
Niger,NER,1016.602556
Nigeria,NGA,5874.704925
Nicaragua,NIC,5842.171881
Netherlands,NLD,52503.26827
Norway,NOR,61414.28137
Nepal,NPL,2696.693682
Nauru,NRU,14157.53321
New Zealand,NZL,41109.00768
OECD members,OED,43359.45221
Oman,OMN,41675.34375
Other small states,OSS,25817.82229
Pakistan,PAK,5527.377674
Panama,PAN,24468.94108
Peru,PER,13434.23011
Philippines,PHL,8342.804479
Palau,PLW,14822.60188
Papua New Guinea,PNG,4198.79681
Poland,POL,29122.09157
Pre-demographic dividend,PRE,3843.004598
Puerto Rico,PRI,38867.35875
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,31672.71309
Paraguay,PRY,13081.58275
West Bank and Gaza,PSE,4885.341879
Pacific island small states,PSS,5948.904003
Post-demographic dividend,PST,46393.35587
French Polynesia,PYF,
Qatar,QAT,128374.333
Romania,ROU,26656.77054
Russian Federation,RUS,25532.99535
Rwanda,RWA,2039.16835
South Asia,SAS,6496.875429
Saudi Arabia,SAU,53779.02147
Sudan,SDN,4903.575522
Senegal,SEN,3450.209068
Singapore,SGP,93905.42416
Solomon Islands,SLB,2421.783219
Sierra Leone,SLE,1527.132013
El Salvador,SLV,8006.059225
San Marino,SMR,63414.01862
Somalia,SOM,
Serbia,SRB,15428.79935
Sub-Saharan Africa (excluding high income),SSA,3827.742687
South Sudan,SSD,
Sub-Saharan Africa,SSF,3830.040462
Small states,SST,22810.35513
Sao Tome and Principe,STP,3351.436191
Suriname,SUR,15159.02551
Slovak Republic,SVK,31616.48013
Slovenia,SVN,34868.21428
Sweden,SWE,50208.16476
Eswatini,SWZ,8640.824585
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,29265.46115
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,1941.175568
East Asia & Pacific (IDA & IBRD countries),TEA,15063.09385
Europe & Central Asia (IDA & IBRD countries),TEC,21327.12349
Togo,TGO,1659.904109
Thailand,THA,17872.22172
Tajikistan,TJK,3194.990801
Turkmenistan,TKM,17992.7666
Latin America & the Caribbean (IDA & IBRD countries),TLA,15715.41246
Timor-Leste,TLS,7212.86196
Middle East & North Africa (IDA & IBRD countries),TMN,13690.58962
Tonga,TON,5956.543211
South Asia (IDA & IBRD),TSA,6496.875429
Sub-Saharan Africa (IDA & IBRD countries),TSS,3830.040462
Trinidad and Tobago,TTO,31577.673
Tunisia,TUN,11910.95234
Turkey,TUR,26518.85288
Tuvalu,TUV,3924.944604
Tanzania,TZA,2945.877987
Uganda,UGA,1864.224584
Ukraine,UKR,8666.896534
Upper middle income,UMC,17784.58787
Uruguay,URY,22562.46183
United States,USA,59531.66196
Uzbekistan,UZB,6864.999587
St. Vincent and the Grenadines,VCT,11744.24708
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6775.832191
Vanuatu,VUT,3207.831231
World,WLD,16952.96372
Samoa,WSM,6626.637643
Kosovo,XKX,10736.86335
"Yemen, Rep.",YEM,2600.873065
South Africa,ZAF,13497.54532
Zambia,ZMB,4024.049614
Zimbabwe,ZWE,2428.564335
